0,30,8,37,2,0,0,3,1,1,6
86,131,17,96,9,2,2,10,5,1,1
2,28,8,211,42,8,0,14,2,2,4
0,35,5,22,15,0,1,5,2,0,5
88,31,67,49,20,0,0,24,0,0,4
16,79,47,28,7,0,2,6,2,0,0
0,4,9,28,37,2,11,2,1,9,3
0,0,11,9,2,0,3,4,2,3,8
21,125,7,33,4,0,0,25,0,0,16
50,118,15,39,4,0,0,10,0,0,4
0,5,13,12,7,3,2,5,4,3,0
8,5,21,27,31,0,0,6,0,0,2
42,21,13,68,21,0,0,4,0,1,0
0,30,12,27,31,20,10,11,0,10,7
0,2,7,17,36,0,5,2,1,0,1
0,0,6,0,1,3,2,2,1,1,1
60,30,40,29,3,0,0,22,0,0,0
4,6,1,12,0,0,1,6,0,10,0
0,0,8,5,0,0,0,3,1,0,3
1,7,12,21,0,0,0,5,0,0,0
6,43,13,11,0,0,0,0,1,0,3
0,0,7,23,40,0,3,5,1,1,3
64,69,2,10,5,0,0,10,2,0,2
0,0,2,2,2,0,4,2,3,1,2
0,0,0,0,0,0,2,1,0,0,1
16,14,25,19,2,1,5,4,5,1,1
6,127,17,239,27,1,2,29,1,2,6
4,27,5,237,55,11,0,12,1,11,1
138,28,13,7,16,1,5,4,0,1,5
3,19,10,42,5,1,0,2,1,0,3
0,49,9,113,25,6,1,7,2,1,3
3,53,38,56,11,3,0,9,0,2,2
0,2,18,5,0,0,1,2,0,0,0
78,124,27,33,4,0,1,12,1,0,4
0,0,7,2,6,2,0,4,0,0,5
1,20,32,54,32,12,0,3,0,4,0
0,37,12,28,2,2,1,6,2,1,8
64,201,10,68,9,0,0,15,0,2,18
0,22,14,40,5,1,0,9,3,5,5
128,147,15,25,4,0,0,24,0,3,5
0,0,1,20,59,0,0,2,0,4,9
23,106,22,124,6,0,1,16,0,4,0
6,38,70,135,59,18,0,9,1,4,3
3,31,10,70,8,2,1,4,0,0,0
0,2,6,13,38,15,0,6,3,2,1
33,73,39,123,24,0,0,18,1,2,1
2,3,16,1,0,0,0,0,0,0,0
0,0,2,0,1,0,0,3,5,0,0
0,21,5,40,11,1,1,3,0,5,1
24,113,20,53,5,0,0,5,0,4,5
68,81,38,83,29,1,0,14,1,0,1
2,22,30,55,17,1,1,8,2,9,13
7,91,11,44,2,5,0,14,2,2,22
2,43,17,24,4,0,0,17,3,4,29
0,10,18,46,79,41,0,11,0,9,2
9,43,21,26,6,1,1,2,2,6,8
0,8,9,28,80,0,0,13,0,0,2
70,35,62,72,41,0,0,17,0,0,0
0,5,22,51,59,6,0,7,2,4,0
0,16,4,21,0,0,2,1,0,0,5
1,2,16,43,54,17,1,2,0,1,1
2,81,9,101,18,4,0,20,1,23,20
0,4,11,3,0,0,0,6,1,0,0
7,14,4,2,1,2,3,7,6,0,5
0,0,6,0,0,0,0,0,2,0,0
2,11,9,14,16,1,8,5,0,6,6
0,0,1,0,0,0,0,0,1,0,0
24,77,50,110,5,0,1,10,0,2,8
1,8,11,68,91,29,28,10,7,23,28
1,101,20,139,4,1,1,11,3,1,8
18,4,41,12,4,0,0,16,0,0,0
0,1,26,3,1,0,0,20,0,0,2
0,0,0,12,70,17,1,3,0,0,1
4,154,13,108,20,2,0,20,2,5,4
0,0,0,1,0,0,5,0,2,0,0
0,28,7,86,8,3,2,20,3,1,2
17,38,28,12,4,0,1,12,2,0,3
1,29,3,24,6,0,1,7,0,0,19
0,7,6,9,2,0,0,13,1,7,1
2,9,15,85,34,13,1,5,1,2,5
4,13,37,5,2,1,0,1,1,2,1
0,0,1,0,0,0,3,0,2,0,0
0,1,1,0,0,0,0,2,2,0,1
5,70,18,20,6,1,2,2,3,0,1
0,3,3,154,39,1,1,19,2,3,1
0,2,4,0,1,5,0,2,2,0,1
23,12,49,96,20,10,4,2,2,3,5
14,23,35,67,38,27,0,11,0,0,6
106,29,28,48,1,0,0,7,1,0,0
3,27,4,16,0,0,1,5,1,1,0
0,0,2,7,2,2,7,4,0,8,4
21,159,19,15,3,2,2,22,2,3,24
0,0,6,42,50,0,0,9,0,1,4
6,14,3,25,4,0,2,9,0,5,7
0,2,14,24,44,3,0,2,1,1,0
23,223,37,32,3,0,0,7,1,0,0
84,108,18,127,27,1,0,8,3,2,2
42,47,6,19,3,0,0,9,1,3,7
4,35,20,65,18,4,1,9,0,11,11
9,20,14,34,29,11,1,16,9,27,24
38,91,21,45,6,0,0,40,2,0,0
0,29,16,25,2,0,3,3,3,0,2
0,0,1,7,1,0,0,5,1,0,0
9,23,38,117,56,20,0,0,1,2,6
13,34,29,58,9,3,0,5,0,1,6
0,14,12,6,7,0,0,19,5,2,2
15,103,14,60,12,0,3,23,8,8,16
0,0,8,3,2,0,0,9,0,1,3
0,9,17,17,4,0,0,5,0,1,0
0,1,11,16,13,3,0,7,0,3,1
16,66,19,17,1,0,1,3,0,0,9
4,7,14,51,24,14,4,8,2,4,3
0,2,11,46,55,1,6,4,0,6,7
0,15,1,11,0,0,1,8,3,3,2
2,0,11,11,2,0,1,16,7,0,0
0,24,18,11,4,0,2,4,0,4,1
