0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,15
17,16
18,15
19,16
20,17
21,17
22,17
23,18
24,19
25,19
26,19
27,19
28,20
29,21
30,22
31,23
32,24
33,25
34,26
35,25
36,25
37,25
38,26
39,26
40,27
41,28
42,29
43,30
44,30
45,29
46,29
47,30
48,30
49,31
50,32
51,32
52,32
53,33
54,33
55,33
56,34
57,34
58,34
59,34
60,35
61,34
62,35
63,36
64,37
65,38
66,38
67,38
68,39
69,40
70,39
71,40
72,41
73,42
74,42
75,43
76,44
77,43
78,44
79,45
80,46
81,46
82,45
83,44
84,44
85,45
86,46
87,45
88,46
89,45
90,46
91,46
92,46
93,45
94,45
95,44
96,43
97,42
98,42
99,42
100,42
101,43
102,44
103,44
104,45
105,45
106,46
107,45
108,46
109,46
110,46
111,46
112,47
113,47
114,48
115,47
116,47
117,47
118,48
119,48
120,49
121,49
122,48
123,48
124,48
125,49
126,49
127,49
128,48
129,47
130,48
131,48
132,48
133,49
134,48
135,49
136,50
137,50
138,51
139,51
140,51
141,51
142,50
143,50
144,51
145,51
146,50
147,50
148,50
149,50
150,50
151,50
152,50
153,51
154,50
155,49
156,49
157,48
158,48
159,48
160,47
161,46
162,46
163,47
164,47
165,48
166,47
167,47
168,47
169,48
170,49
171,48
172,47
173,47
174,47
175,48
176,48
177,47
178,46
179,47
180,46
181,46
182,45
183,44
184,43
185,44
186,43
187,44
188,43
189,43
190,43
191,43
192,42
193,42
194,43
195,44
196,43
197,42
198,42
199,42
200,42
201,42
202,43
203,43
204,42
205,41
206,41
207,41
208,40
209,41
210,42
211,43
212,43
213,42
214,41
215,40
216,39
217,39
218,38
219,37
220,37
221,36
222,35
223,34
224,33
225,32
226,31
227,30
228,30
229,29
230,30
231,31
232,30
233,29
234,28
235,27
236,26
237,25
238,25
239,24
240,24
241,25
242,24
243,23
244,22
245,22
246,23
247,23
248,24
249,24
250,23
251,22
252,21
253,20
254,20
255,19
256,18
257,17
258,16
259,16
260,16
261,16
262,15
263,14
264,13
265,12
266,11
267,11
268,10
269,9
270,9
271,8
272,7
273,6
274,5
275,5
276,4
277,4
278,3
279,2
280,2
281,1
282,2
283,3
284,2
285,2
286,2
287,1
288,1
289,1
